amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
,allocated,13/00293/S106/12,13/00293/S106/12/T1,2019-10-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-12-T1
,spent,13/00293/S106/12,13/00293/S106/12/T2,,2020-12-10,local-authority-eng:NTY,2019-10-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-12-T2
,allocated,13/00293/S106/13,13/00293/S106/13/T1,2019-07-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-13-T1
,spent,13/00293/S106/13,13/00293/S106/13/T2,,2020-12-10,local-authority-eng:NTY,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-13-T2
,allocated,13/00293/S106/6,13/00293/S106/6/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-6-T1
,allocated,13/00293/S106/7,13/00293/S106/7/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-7-T1
,allocated,13/00294/S106/1,13/00294/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00294-S106-1-T1
,allocated,13/00294/S106/2,13/00294/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00294-S106-2-T1
,allocated,13/00572/S106/1,13/00572/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00572-S106-1-T1
,allocated,13/00851/S106/3,13/00851/S106/3/T1,2019-07-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00851-S106-3-T1
,spent,13/00851/S106/3,13/00851/S106/3/T2,,2020-12-10,local-authority-eng:NTY,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00851-S106-3-T2
,allocated,13/00947/S106/2,13/00947/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00947-S106-2-T1
,allocated,13/00947/S106/4,13/00947/S106/4/T1,2019-07-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00947-S106-4-T1
,spent,13/00947/S106/4,13/00947/S106/4/T2,,2020-12-10,local-authority-eng:NTY,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00947-S106-4-T2
,allocated,13/00947/S106/5,13/00947/S106/5/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00947-S106-5-T1
,allocated,13/01064/S106/1,13/01064/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01064-S106-1-T1
,allocated,13/01431/S106/1,13/01431/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01431-S106-1-T1
,allocated,13/01433/S106/10,13/01433/S106/10/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-10-T1
,allocated,13/01433/S106/3,13/01433/S106/3/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-3-T1
,allocated,13/01433/S106/4,13/01433/S106/4/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-4-T1
,allocated,13/01433/S106/5,13/01433/S106/5/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-5-T1
,allocated,13/01433/S106/6,13/01433/S106/6/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-6-T1
,allocated,13/01433/S106/8,13/01433/S106/8/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-8-T1
,allocated,13/01433/S106/9,13/01433/S106/9/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-9-T1
,allocated,13/01737/S106/4,13/01737/S106/4/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01737-S106-4-T1
,allocated,13/01737/S106/5,13/01737/S106/5/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01737-S106-5-T1
,received,13/02005/S106/1,13/02005/S106/1/T1,2019-08-01,2020-12-11,local-authority-eng:NTY,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-1-T1
,allocated,13/02005/S106/1,13/02005/S106/1/T2,,2020-12-11,local-authority-eng:NTY,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-1-T2
,received,13/02005/S106/2,13/02005/S106/2/T1,2019-08-01,2020-12-11,local-authority-eng:NTY,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-2-T1
,allocated,13/02005/S106/2,13/02005/S106/2/T2,,2020-12-11,local-authority-eng:NTY,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-2-T2
,received,13/02005/S106/3,13/02005/S106/3/T1,2019-08-01,2020-12-11,local-authority-eng:NTY,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-3-T1
,allocated,13/02005/S106/3,13/02005/S106/3/T2,,2020-12-11,local-authority-eng:NTY,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-3-T2
,spent,13/02005/S106/3,13/02005/S106/3/T3,,2020-12-10,local-authority-eng:NTY,2019-10-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-3-T3
,received,13/02005/S106/4,13/02005/S106/4/T1,2019-08-01,2020-12-11,local-authority-eng:NTY,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-4-T1
,allocated,13/02005/S106/4,13/02005/S106/4/T2,,2020-12-11,local-authority-eng:NTY,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-4-T2
,allocated,14/00242/S106/3,14/00242/S106/3/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00242-S106-3-T1
,allocated,14/00242/S106/5,14/00242/S106/5/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00242-S106-5-T1
,allocated,14/00242/S106/6,14/00242/S106/6/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00242-S106-6-T1
,spent,14/00242/S106/7,14/00242/S106/7/T1,,2020-12-10,local-authority-eng:NTY,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00242-S106-7-T1
,allocated,14/00242/S106/7,14/00242/S106/7/T2,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00242-S106-7-T2
,allocated,14/00242/S106/8,14/00242/S106/8/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00242-S106-8-T1
,allocated,14/00473/S106/3,14/00473/S106/3/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00473-S106-3-T1
,allocated,14/00473/S106/4,14/00473/S106/4/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00473-S106-4-T1
,allocated,14/00473/S106/7,14/00473/S106/7/T1,2020-02-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00473-S106-7-T1
,spent,14/00473/S106/7,14/00473/S106/7/T2,,2020-12-10,local-authority-eng:NTY,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00473-S106-7-T2
,allocated,14/00473/S106/8,14/00473/S106/8/T1,2019-07-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00473-S106-8-T1
,spent,14/00473/S106/8,14/00473/S106/8/T2,,2020-12-10,local-authority-eng:NTY,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-00473-S106-8-T2
