amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
85148,secured,14/00899/REM-S1.2.2,14/00899/REM-S1.2.2-TRANS1,,2020-12-02,2017-11-30,,
85148,received,14/00899/REM-S1.2.2,14/00899/REM-S1.2.2-TRANS2,,2020-12-02,2018-03-23,,
85148,allocated,14/00899/REM-S1.2.2,14/00899/REM-S1.2.2-TRANS3,,2020-12-02,2018-03-23,,
20186.9,spent,14/00899/REM-S1.2.2,14/00899/REM-S1.2.2-TRANS4,,2020-12-02,2019-03-31,,
45981.17,spent,14/00899/REM-S1.2.2,14/00899/REM-S1.2.2-TRANS5,,2020-12-02,2020-03-31,,
85148,secured,14/00899/REM-S1.2.3,14/00899/REM-S1.2.3-TRANS1,,2020-12-02,2018-12-14,,
85148,received,14/00899/REM-S1.2.3,14/00899/REM-S1.2.3-TRANS2,,2020-12-02,2019-03-19,,
85148,allocated,14/00899/REM-S1.2.3,14/00899/REM-S1.2.3-TRANS3,,2020-12-02,2019-03-19,,
33339.04,secured,11/00360/FUL-S2.2.1.1,11/00360/FUL-S2.2.1.1-TRANS1,,2020-12-02,2013-04-24,,
33339.04,received,11/00360/FUL-S2.2.1.1,11/00360/FUL-S2.2.1.1-TRANS2,,2020-12-02,2014-11-04,,
33339.04,allocated,11/00360/FUL-S2.2.1.1,11/00360/FUL-S2.2.1.1-TRANS3,,2020-12-02,2014-11-04,,
33339.04,spent,11/00360/FUL-S2.2.1.1,11/00360/FUL-S2.2.1.1-TRANS4,,2020-12-02,2015-03-31,,
33339.04,secured,11/00360/FUL-S2.2.1.2,11/00360/FUL-S2.2.1.2-TRANS1,,2020-12-02,2013-11-24,,
33339.04,received,11/00360/FUL-S2.2.1.2,11/00360/FUL-S2.2.1.2-TRANS2,,2020-12-02,2014-11-04,,
33339.04,allocated,11/00360/FUL-S2.2.1.2,11/00360/FUL-S2.2.1.2-TRANS3,,2020-12-02,2014-11-04,,
