resource,amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1682,allocated,47641/95-dc1,47641/95-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,-1.8E+2,allocated,47874/95-dc1,47874/95-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1480.42,allocated,49236/96-dc1,49236/96-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,893.15,allocated,48883/96-dc1,48883/96-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,11874.79,allocated,49236/96-dc2,49236/96-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,28438,allocated,55870/99-dc1,55870/99-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,2423.26,allocated,59154/01-dc1,59154/01-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,3711.5,allocated,48793/96-dc1,48793/96-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,2020.8,allocated,48793/96-dc2,48793/96-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1.8E+4,allocated,50028/97-dc1,50028/97-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,5652.75,allocated,45255/94-dc1,45255/94-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1931.98,allocated,59315/01-dc1,59315/01-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,6717.44,allocated,48401/96-dc1,48401/96-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,6E+2,allocated,54285/99-dc1,54285/99-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,7367.72,allocated,63515/02-dc1,63515/02-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,8289.13,allocated,63993/03-dc1,63993/03-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,14493.78,allocated,49577/96-dc1,49577/96-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,15464.38,allocated,36912/92-dc1,36912/92-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,25275,allocated,64023/03-dc1,64023/03-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1.05E+3,allocated,75492/06-dc1,75492/06-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,827.24,allocated,67373/04-dc1,67373/04-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,885.21,allocated,68726/04-dc1,68726/04-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1.435E+4,allocated,77241/07-dc1,77241/07-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,14834.71,allocated,70243/05-dc3,70243/05-dt3,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,23571.01,allocated,49577/96-dc2,49577/96-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,46552.85,allocated,65785/03-dc1,65785/03-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,841.65,allocated,79867/08-dc1,79867/08-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,60255.8,allocated,67335/04-dc1,67335/04-dt1,,2020-03-31,2020-03-31,,
